"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00000075738181,1.00000151474431,1.24887616802278,0.263769343681784
"s(pred.date):localityKilasairo River NW",1.00000724375829,1.00001429831982,2.74779999141335,0.0973881525549827
"s(pred.date):localityKilasairo River SE",1.79866369773866,1.99674713764209,3.3995326347864,0.17095927998251
"s(pred.date):localityKwambu Platforms",1.85806766083716,1.99944403076389,5.86729279695197,0.0507517086239836
"s(pred.date):localityLoto Beach",1.00000200114514,1.00000400227241,0.0295685074308857,0.863478568124683
"s(pred.date):localityMidway Cove",1.31233987970068,1.5292603156676,0.375413590738814,0.709235829993173
"s(pred.date):localityNW Point",1.00000322909151,1.00000645760677,1.15368964505427,0.282778655983615
"s(pred.date):localityParadise Springs",1.00000265832213,1.00000531655669,0.0907811695605771,0.763190774989285
"s(pred.date):localityPukau NW",1.00000474908773,1.00000935311694,18.1707895414452,2.01780737518753e-05
"s.1(pred.date):localityBonah River",1.00000690018199,1.00001380008806,0.0739785800157549,0.785637229180739
"s.1(pred.date):localityKilasairo River NW",1.84402208919575,2.01918351787138,9.84372797356165,0.00930915457900178
"s.1(pred.date):localityKilasairo River SE",1.0000055723115,1.00001098103875,2.31710618948285,0.12796018512083
"s.1(pred.date):localityKwambu Platforms",1.00002209639191,1.00004367527134,0.983541392304205,0.321315142279272
"s.1(pred.date):localityLoto Beach",1.00000499331376,1.00000998656203,0.0105606580850482,0.918171085767889
"s.1(pred.date):localityMidway Cove",1.00000381139006,1.0000074965497,2.70226003191068,0.100209856530018
"s.1(pred.date):localityNW Point",1.00000774504257,1.00001548952666,3.4042256708552,0.0650301973978828
"s.1(pred.date):localityParadise Springs",1.00000419339215,1.00000838661516,1.04883571756361,0.305776275418216
"s.1(pred.date):localityPukau NW",1.82008328763122,2.05527037525379,45.4632439457288,0
