"","growth.form","pos.arg","pos.arg2","neg.arg"
"1","encrusting","encrusting",NA,NA
"2","massive","massive",NA,"sub"
"3","submassive","submassive|phaceloid",NA,NA
"4","branching_open","arbor|staghorn|hispidose|hyspidose|branching|thin|thick",NA,NA
"5","corymbose","corymbose",NA,NA
"6","branching_closed","bush|bottle|caespitose|thicket",NA,NA
"7","table_plate","table|plate|sheet",NA,NA
"8","digitate","digit|clump",NA,NA
"9","laminar","laminar|vase|frond|blade|organ|pipe|whorl",NA,NA
"10","columnar","column|cuneiform|club",NA,NA
"11","solitary","solitary",NA,NA
